ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,CAND_IND1,CAND_IND2,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,151,376,377,7150,17690,684,1960,2526,63342,33225,522,1406,839,421,,,217,2116,506,440,283,133327,46,3589,136962,217499,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CAMPECHE.pdf
4,CAMPECHE,2,CALKINI,30,63,63,593,1448,68,622,655,11037,8620,57,459,78,69,,,16,274,77,64,42,24179,5,564,24748,32551,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CALAKINI.pdf
4,CAMPECHE,3,CARMEN,142,319,320,2415,2084,380,2980,1886,26500,61122,661,669,820,300,,,43,3181,358,646,411,104456,28,2974,107458,188102,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CARMEN.pdf
4,CAMPECHE,4,CHAMPOTON,48,108,109,4557,3125,172,1265,976,6967,13734,161,593,126,156,,,27,679,167,147,127,32979,33,1449,34461,58658,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CHAMPOTON.pdf
4,CAMPECHE,5,HECELCHAKAN,18,42,42,70,203,25,428,247,8509,6816,161,65,474,45,,,2,160,67,47,26,17345,1,330,17676,24253,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_HECELCHAKAN.pdf
4,CAMPECHE,6,HOPELCHEN,32,58,59,164,9592,150,443,812,1709,7612,158,14,26,82,,,59,162,70,45,45,21143,4,583,21730,30813,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_HOPELCHEN.pdf
4,CAMPECHE,7,PALIZADA,10,14,14,1641,1346,10,1728,21,278,657,4,1,5,9,,,10,,,,,5710,0,116,5826,7401,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_PALIZADA.pdf
4,CAMPECHE,8,TENABO,8,17,17,1329,2150,16,101,259,396,2373,12,5,24,311,,,17,67,15,13,12,7100,6,209,7315,8887,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_TENABO.pdf
4,CAMPECHE,9,ESCARCEGA,36,80,81,702,1273,100,885,629,5540,7838,128,3861,103,87,351,,5,524,117,90,63,22296,30,1266,23592,44631,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_ESCARCEGA.pdf
4,CAMPECHE,10,CANDELARIA,35,70,70,4190,208,53,758,474,6427,7430,46,15,9,26,,,3,539,93,81,87,20439,10,927,21376,36016,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CANDELARIA.pdf
4,CAMPECHE,11,CALAKMUL,18,42,42,311,1850,50,414,340,969,4966,93,2745,27,32,,,27,215,74,23,40,12176,1,687,12864,20986,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CALAKMUL.pdf
4,CAMPECHE,12,DZITBALCHE,6,18,18,58,2308,41,133,98,4087,2267,47,8,76,15,,,11,55,18,12,12,9246,0,256,9502,12180,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_DZITBALCHE.pdf
4,CAMPECHE,13,SEYBAPLAYA,9,22,22,453,3336,156,255,192,354,3255,20,50,0,5,,357,73,112,32,26,15,8691,0,244,8935,12016,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_SEYBAPLAYA .pdf
