ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,MC,PAN_PRI_PRD,PVEM_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,13,2223,29236,13945,45404,82,387,45873,50277,
9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,140,377,379,11716,30703,105152,147571,114,3519,151204,233078,
9,CIUDAD DE MEXICO,2,GUSTAVO A. MADERO,255,483,485,15212,80080,88620,183912,213,3520,187645,259360,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,218,443,444,16069,65573,94281,175923,161,2921,179005,249645,
9,CIUDAD DE MEXICO,4,GUSTAVO A. MADERO,227,489,491,16527,58186,110008,184721,180,3999,188900,277604,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,207,453,455,16222,77030,89128,182380,181,2860,185421,255515,
9,CIUDAD DE MEXICO,6,GUSTAVO A. MADERO,244,507,509,17878,81244,102863,201985,181,3574,205740,286358,
9,CIUDAD DE MEXICO,7,MILPA ALTA,96,346,348,11144,41414,87583,140141,85,3413,143639,219739,
9,CIUDAD DE MEXICO,8,TLAHUAC,101,341,342,11175,38962,89222,139359,102,2765,142226,218631,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,187,424,426,14163,66077,81485,161725,203,3524,165452,245607,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,208,436,437,14875,70793,88032,173700,125,3196,177021,253453,
9,CIUDAD DE MEXICO,11,IZTACALCO,212,453,455,15649,62490,97932,176071,168,3164,179403,260813,
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,202,434,435,13715,82883,72441,169039,228,2835,172102,247948,
9,CIUDAD DE MEXICO,13,MIGUEL HIDALGO,179,361,362,10156,90999,50532,151687,139,1825,153651,208063,
9,CIUDAD DE MEXICO,14,TLALPAN,169,420,422,13543,71421,89888,174852,194,3228,178274,247560,
9,CIUDAD DE MEXICO,15,IZTACALCO,215,449,450,13620,69058,91398,174076,147,3018,177241,254384,
9,CIUDAD DE MEXICO,16,TLALPAN,99,355,357,11847,46883,88221,146951,109,3305,150365,230442,
9,CIUDAD DE MEXICO,17,BENITO JUAREZ,166,420,421,9822,125018,56539,191379,224,2247,193850,252266,
9,CIUDAD DE MEXICO,18,ALVARO OBREGON,170,411,413,10775,105108,60337,176220,145,2308,178673,239000,
9,CIUDAD DE MEXICO,19,XOCHIMILCO,166,387,390,11713,83183,65854,160750,155,2565,163470,222368,
9,CIUDAD DE MEXICO,20,CUAJIMALPA DE MORELOS,101,366,367,14194,71100,80417,165711,126,2894,168731,233509,
9,CIUDAD DE MEXICO,21,IZTAPALAPA,165,381,384,8686,45581,90729,144996,128,2997,148121,218042,
9,CIUDAD DE MEXICO,22,IZTAPALAPA,149,354,355,8426,34577,92267,135270,102,2744,138116,210644,
9,CIUDAD DE MEXICO,23,ALVARO OBREGON,190,410,413,11795,87392,69732,168919,139,2714,171772,233358,
9,CIUDAD DE MEXICO,24,IZTAPALAPA,197,424,426,11013,65901,87989,164903,162,2768,167833,236763,
9,CIUDAD DE MEXICO,25,XOCHIMILCO,102,379,382,12955,48807,91234,152996,111,3412,156519,246451,
9,CIUDAD DE MEXICO,26,COYOACAN,195,491,492,17026,85896,102496,205418,212,3871,209501,292053,
9,CIUDAD DE MEXICO,27,IZTAPALAPA,113,339,340,5442,18919,101017,125378,71,2646,128095,206910,
9,CIUDAD DE MEXICO,28,IZTAPALAPA,145,366,368,9437,43922,92678,146037,115,2694,148846,220719,
9,CIUDAD DE MEXICO,29,IZTAPALAPA,132,372,375,7338,28382,106882,142602,114,2811,145527,227374,
9,CIUDAD DE MEXICO,30,COYOACAN,208,483,485,14099,110175,82406,206680,184,2943,209807,279969,
9,CIUDAD DE MEXICO,31,IZTAPALAPA,110,332,335,6690,24768,95238,126696,71,2685,129452,205751,
9,CIUDAD DE MEXICO,32,ALVARO OBREGON,151,386,388,12353,54589,88838,155780,123,3118,159021,235118,
9,CIUDAD DE MEXICO,33,LA MAGDALENA CONTRERAS,149,359,360,11170,59617,76754,147541,128,2873,150542,212554,
