ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,0,VOTO EN EL EXTRANJERO,0,0,10,2006,375,101,160,167,5917,5258,71,229,513,45,8,2,599,36,43,697,1,1,4,7,18,6,6,58,1,1,2,21,15,21,122,1,1,4,44,17,29,8,16615,22,123,16760,20555,
14,JALISCO,1,TEQUILA,254,580,581,19677,14071,1406,5700,4513,78944,64006,3359,1224,1369,526,62,28,632,137,164,1328,72,26,36,200,74,76,71,536,23,40,27,112,55,70,394,17,24,16,106,267,121,36,199545,152,5120,204817,333813,
14,JALISCO,2,LAGOS DE MORENO,211,547,548,36723,7878,1057,5528,2911,66081,40346,3223,1584,1983,784,128,37,371,113,97,1086,17,19,25,193,43,74,42,481,8,49,17,64,54,36,252,14,19,15,156,212,90,29,171839,162,5670,177671,315947,
14,JALISCO,3,TEPATITLAN DE MORELOS,214,588,589,38869,16191,1198,6945,2900,76927,37002,2801,960,1851,852,79,133,594,69,89,730,29,23,30,131,51,47,27,342,11,21,15,60,35,36,208,12,11,6,72,117,70,21,189565,152,5391,195108,354411,
14,JALISCO,4,ZAPOPAN,149,558,559,12069,10410,1173,4037,2439,103033,50470,2046,5593,1303,395,25,37,1310,141,521,1185,81,20,76,106,138,69,276,511,19,18,69,146,62,210,295,23,16,33,239,169,404,65,199232,178,4107,203517,357579,
14,JALISCO,5,PUERTO VALLARTA,169,547,548,6903,5682,853,33240,3566,64027,54370,3769,3386,489,159,18,14,315,93,82,1067,34,21,27,227,46,80,75,896,14,58,34,52,37,62,358,10,19,12,74,142,123,39,180473,152,4230,184855,330750,
14,JALISCO,6,ZAPOPAN,143,490,491,10432,7363,856,2865,1837,94239,37019,1192,4263,981,408,51,29,711,72,394,936,33,12,53,110,83,43,288,397,19,15,52,127,37,162,261,9,7,16,148,236,369,51,166176,145,2897,169218,312664,
14,JALISCO,7,TONALA,87,416,417,7859,10086,995,3819,2201,49786,51078,1943,2103,1205,326,45,20,875,142,251,1521,53,10,45,140,49,45,95,555,19,20,31,66,43,89,311,20,15,34,83,94,116,35,136223,160,2915,139298,281206,
14,JALISCO,8,GUADALAJARA,371,711,712,21390,13161,1535,4268,3053,143711,53400,2548,3465,1935,617,65,45,910,150,356,1769,59,19,34,128,96,71,129,593,16,11,27,162,54,146,399,17,12,25,141,124,236,44,254921,601,4563,260085,393980,
14,JALISCO,9,GUADALAJARA,230,599,600,12595,11878,1518,5448,3710,89042,65276,2290,2894,1210,473,67,62,948,151,462,2221,81,36,74,225,121,91,191,1013,39,21,33,135,82,141,478,21,13,20,169,161,242,53,203685,535,4639,208859,361431,
14,JALISCO,10,ZAPOPAN,163,561,562,19512,8988,1161,3097,2239,147699,36630,1400,4990,1440,478,55,54,811,115,430,1131,49,12,44,134,125,43,180,446,30,18,43,111,44,178,248,18,10,13,236,113,369,79,232773,1011,4216,238000,362245,
14,JALISCO,11,GUADALAJARA,311,673,674,15976,16040,1552,5836,3290,99378,66414,3085,2823,1636,576,43,43,1068,199,432,2124,89,37,53,196,128,110,200,877,30,27,47,150,66,110,434,13,17,19,161,173,207,48,223707,540,4881,229128,385744,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,123,485,486,12677,7007,1214,3544,2250,96315,45814,1472,2878,1139,303,31,35,669,105,292,1484,48,17,42,123,86,66,113,449,26,19,36,107,39,94,306,12,11,21,135,131,211,45,179366,1405,3226,183997,312396,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,163,512,513,12311,9291,1402,4400,3177,76473,57719,1885,2763,1089,399,52,36,784,142,359,2155,53,19,63,210,93,77,164,799,22,19,38,113,45,125,433,24,8,20,96,101,187,62,177208,197,4098,181503,319624,
14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,90,388,389,4609,3958,875,2851,1978,43016,43068,1247,1349,474,145,16,41,712,107,232,1246,37,13,24,112,53,39,87,413,11,18,17,91,35,58,233,14,5,8,74,69,114,33,107482,197,2178,109857,255158,
14,JALISCO,15,LA BARCA,214,580,581,27967,21311,1113,10848,2539,69674,30644,7219,1134,2537,1264,75,29,557,128,106,887,47,32,37,153,44,83,52,534,24,66,33,69,38,29,185,11,26,16,71,252,107,50,179991,102,5398,185491,343355,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,132,501,502,11231,9398,1162,4080,2542,69138,61176,1773,2068,1146,365,40,36,855,123,364,1910,52,23,49,159,90,59,126,751,8,23,23,111,41,116,398,25,9,21,90,113,158,44,169896,120,3611,173627,328419,
14,JALISCO,17,JOCOTEPEC,165,504,505,11700,12644,1066,8342,5653,62086,55363,4092,6407,1266,454,58,41,653,114,177,1259,29,21,55,199,107,63,124,545,32,29,118,82,58,63,351,10,20,21,92,183,284,131,173992,368,4013,178373,312849,
14,JALISCO,18,AUTLAN DE NAVARRO,261,609,610,11134,23839,1706,6401,3973,72681,63453,8929,1899,1660,489,42,65,1269,304,126,1160,59,41,45,197,87,97,52,522,22,41,25,76,74,46,301,16,33,11,108,383,134,49,201549,59,5852,207460,349088,
14,JALISCO,19,ZAPOTLAN EL GRANDE,278,630,631,13331,12584,1339,10143,5511,75025,61315,6503,1805,1379,413,42,37,1153,194,138,1365,96,38,35,235,99,101,77,565,34,52,28,130,89,98,419,29,39,13,124,284,116,51,195029,387,4889,200305,351976,
14,JALISCO,20,TONALA,55,384,385,6017,9222,761,3002,2052,48737,49416,1816,1515,993,240,21,54,829,114,169,1290,38,17,31,97,65,37,74,438,22,10,13,82,30,82,293,12,24,16,75,99,75,46,127924,149,2814,130887,256973,
