ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,107,231,232,1098,7528,322,9568,7963,8896,38366,340,3644,3277,1195,82197,6,4114,86317,115442,
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,77,202,203,2264,1921,725,3692,10867,4272,37276,1563,3804,595,829,67808,73,3495,71376,113998,
20,OAXACA,3,LOMA BONITA,91,217,218,4172,3171,5342,10899,3080,4780,32568,368,2314,736,688,68118,6,3356,71480,108477,
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,134,276,277,1909,11666,5255,3918,9944,1990,31331,1099,3314,963,1157,72546,78,5845,78469,127928,
20,OAXACA,5,ASUNCION NOCHIXTLAN,157,269,270,2128,5361,1702,4698,7094,1937,31240,2893,2558,786,1024,61421,22,3754,65197,109208,
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,174,298,300,9881,7611,836,3909,5880,3856,36108,854,3045,2966,994,75940,106,4428,80474,140209,
20,OAXACA,7,PUTLA VILLA DE GUERRERO,108,239,240,879,4260,3118,7113,8965,1968,27770,727,846,891,2107,58644,52,8996,67692,120391,
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,122,252,253,724,3336,1270,4656,17001,1995,28585,1855,760,2222,1271,63675,60,4838,68573,122017,
20,OAXACA,9,IXTLAN DE JUAREZ,120,242,244,2211,4467,666,3936,7141,2286,30125,1468,432,539,1628,54899,52,3644,58595,113086,
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,94,239,240,1129,2636,954,2975,10177,1161,25939,495,2125,307,2138,50036,11,5101,55148,110898,
20,OAXACA,11,MATIAS ROMERO,104,220,221,1737,4358,675,5787,10840,4499,33634,263,1264,1378,1346,65781,42,3520,69343,113148,
20,OAXACA,12,SANTA LUCIA DEL CAMINO,109,267,268,8764,9984,1272,8099,4988,11087,40564,1908,1547,1564,5068,94845,102,5001,99948,157209,
20,OAXACA,13,OAXACA DE JUAREZ,102,253,255,8197,10384,1429,9822,4352,8417,35262,1775,1583,1302,4112,86635,94,4311,91040,146399,
20,OAXACA,14,VILLA DE ETLA,54,180,181,2870,5875,1457,5605,6147,4076,25486,885,1559,1183,5657,60800,37,3714,64551,111791,
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,49,217,218,4173,7746,1278,9733,5803,7289,38002,2287,6980,1181,2666,87138,38,5177,92353,141486,
20,OAXACA,16,ZIMATLAN DE ALVAREZ,90,212,214,1420,3604,1072,6474,9365,2475,24797,776,633,1624,801,53041,17,4152,57210,107431,
20,OAXACA,17,TLACOLULA DE MATAMOROS,80,204,205,2122,3310,688,5659,7124,4947,24488,729,754,718,1059,51598,33,3862,55493,111710,
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,106,235,236,905,3676,452,13466,7627,2530,36538,693,718,726,994,68325,27,3769,72121,118227,
20,OAXACA,19,CIUDAD IXTEPEC,89,228,230,1360,5020,558,13168,16421,5388,36961,767,364,665,1244,81916,35,3975,85926,132104,
20,OAXACA,20,JUCHITAN DE ZARAGOZA,91,219,221,639,3174,542,12428,4946,4672,43316,1297,618,1381,1228,74241,39,3441,77721,123365,
20,OAXACA,21,OCOTLAN DE MORELOS,98,225,227,2983,4111,765,10231,7352,5325,28105,1507,1412,1375,2031,65197,49,4654,69900,128362,
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,105,252,253,1842,3618,11344,13619,7129,2529,32146,2558,6120,1400,838,83143,65,4056,87264,135796,
20,OAXACA,23,PUERTO ESCONDIDO,69,224,225,1876,14157,1285,3322,12155,1052,28244,918,795,475,857,65136,36,3921,69093,127642,
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DIAZ,121,269,270,1672,4442,590,4714,4519,1670,32435,9987,757,717,1251,62754,55,4804,67613,136754,
20,OAXACA,25,SAN PEDRO POCHUTLA,83,249,251,3358,4075,2113,13080,12084,4932,30221,1092,2392,938,1011,75296,21,5117,80434,138908,
