ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,XICOTEPEC DE JUAREZ,135,349,352,15260,6717,1869,17366,4648,9363,3405,44788,1511,1609,106536,358,5568,112462,187870,
21,PUEBLA,2,HUAUCHINANGO DE DEGOLLADO,97,311,312,15518,13625,5087,9981,5391,12240,4797,39760,2530,1949,110878,93,8460,119431,187031,
21,PUEBLA,3,CHIGNAHUAPAN,129,338,338,12227,28424,3898,15131,9605,3899,1583,45344,1859,7681,129651,13,7022,136686,188641,
21,PUEBLA,4,ZACAPOAXTLA,137,342,349,7658,21866,3050,20767,11386,7791,3204,43037,3417,3175,125351,18,7317,132686,198400,
21,PUEBLA,5,LIBRES,103,299,299,14042,12104,1690,19366,8041,15210,3731,33080,3503,1695,112462,15,6544,119021,175492,
21,PUEBLA,6,TEZIUTLAN,100,285,289,12519,17867,2075,9782,11769,9945,1556,38110,2696,3586,109905,76,4915,114896,170751,
21,PUEBLA,7,SAN MARTIN TEXMELUCAN DE LABASTIDA,97,312,313,13174,8862,1598,8286,11552,18888,1332,44308,1831,1165,110996,102,6927,118025,201620,
21,PUEBLA,8,HUEJOTZINGO,84,285,285,14027,5737,3841,10461,7773,21037,1960,42572,2806,2273,112487,45,5851,118383,182327,
21,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,69,301,303,32928,6387,1380,6849,4312,10334,1154,50569,1721,1140,116774,64,3662,120500,199813,
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,136,367,368,29030,5950,1486,8994,4929,10535,2052,60705,1762,1017,126460,82,4263,130805,220036,
21,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,59,284,285,19311,4768,1256,6366,4369,7388,679,52030,1378,1088,98633,45,3578,102256,190723,
21,PUEBLA,12,AMOZOC DE MOTA,67,262,263,13606,4029,1221,7674,11191,12636,1979,45233,2359,1274,101202,52,5270,106524,171493,
21,PUEBLA,13,TEPEACA,76,275,275,13763,5606,1839,12285,4617,5800,3042,51469,2059,1785,102265,30,5417,107712,170246,
21,PUEBLA,14,CIUDAD SERDAN,110,302,304,13175,5792,2960,7429,11220,16050,2916,42906,3178,3697,109323,18,7069,116410,174363,
21,PUEBLA,15,TECAMACHALCO,82,285,286,9097,4896,1188,10068,8161,8265,16170,48946,1525,1544,109860,16,6144,116020,177796,
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,143,364,365,41780,8045,1809,7213,5165,9299,897,56827,1607,1132,133774,86,4026,137886,215792,
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,235,465,466,63145,9592,2343,8225,5335,10708,879,61668,1654,1079,164628,134,3664,168426,249735,
21,PUEBLA,18,CHOLULA DE RIVADAVIA,90,355,357,47664,6170,2435,8200,4748,18327,1167,48728,2771,1318,141528,219,6293,148040,226185,
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,101,311,312,31811,6845,3399,5925,4386,6049,1253,50286,1206,808,111968,63,4313,116344,194267,
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,90,300,301,26964,7348,1686,4789,4312,7725,959,45550,1118,724,101175,55,3520,104750,188359,
21,PUEBLA,21,ATLIXCO,102,304,304,22242,7780,1049,7792,5285,11051,1497,49100,1526,2038,109360,57,4431,113848,187102,
21,PUEBLA,22,IZUCAR DE MATAMOROS,126,326,326,7317,14596,934,18487,5238,5426,4280,44543,4244,3482,108547,43,6167,114757,181301,
21,PUEBLA,23,ACATLAN DE OSORIO,182,388,388,9928,22416,2140,10104,10177,2633,2689,56070,3545,1652,121354,13,5195,126562,193316,
21,PUEBLA,24,TEHUACAN,109,310,312,14266,6020,1180,9497,8070,8464,2775,56741,2969,3018,113000,68,6184,119252,184809,
21,PUEBLA,25,TEHUACAN,76,281,282,25243,6190,2300,11983,6358,9335,2187,39827,903,715,105041,39,4970,110050,179742,
21,PUEBLA,26,AJALPAN,112,318,322,21199,11664,4609,11317,13787,7994,3373,42236,7491,1328,124998,13,8182,133193,181526,
