ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,PAN_PRI,PVEM_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,KANTUNILKIN,46,153,153,,,703,,,5783,,563,15595,34013,56657,78,2049,58784,95660,
23,QUINTANA ROO,2,CANCUN,59,161,162,,,697,,,5095,,875,14746,35624,57037,104,1873,59014,99861,
23,QUINTANA ROO,3,CANCUN,45,126,126,,,222,,,1879,,317,2034,28912,33364,46,1069,34479,73816,
23,QUINTANA ROO,4,CANCUN,86,186,186,,,928,,,3359,,1127,4312,47875,57601,45,2144,59790,108854,
23,QUINTANA ROO,5,CANCUN,45,131,132,1578,758,274,,,2159,,395,,29698,34862,40,1111,36013,83788,
23,QUINTANA ROO,6,CANCUN,64,144,144,,,477,,,3038,,682,3637,36242,44076,92,1554,45722,89332,
23,QUINTANA ROO,7,CANCUN,107,191,192,,,576,,,4454,,874,4583,46108,56595,96,2002,58693,105836,
23,QUINTANA ROO,8,CANCUN,108,212,214,,,871,7885,1163,4622,23609,865,22664,,61679,67,3515,65261,116963,
23,QUINTANA ROO,9,PLAYA DEL CARMEN,44,124,125,,,245,,,1995,,437,8088,27796,38561,33,1273,39867,79291,
23,QUINTANA ROO,10,PLAYA DEL CARMEN,105,213,214,,,677,,,3185,,789,16800,40247,61698,89,2202,63989,122109,
23,QUINTANA ROO,11,COZUMEL,47,147,148,,,459,,,2565,,2082,18614,28224,51944,36,1664,53644,92916,
23,QUINTANA ROO,12,TULUM,71,148,149,,,414,,,7996,,517,5977,33080,47984,39,2057,50080,85521,
23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,57,159,160,,,11699,,,8334,,977,1861,36921,59792,31,2552,62375,90207,
23,QUINTANA ROO,14,CHETUMAL,92,201,202,,,1336,,,10923,,2013,5808,37717,57797,57,2696,60550,110991,
23,QUINTANA ROO,15,CHETUMAL,100,200,201,,,871,,,15508,,2365,7367,33048,59159,54,2335,61548,104957,
