ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,CAND_IND3,PVEM_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,BALANCAN,44,84,85,291,,5954,1111,1692,1964,13127,,,,490,,24629,2044,1889,28562,43676,http://iepct.mx/computos/2024/PMR/1/ACTA_COMPUTO.pdf
27,TABASCO,2,CARDENAS,122,319,320,,1345,23151,2739,1578,2063,58236,4117,,,1477,,94706,117,5553,100376,182046,http://iepct.mx/computos/2024/PMR/2/ACTA_COMPUTO.pdf
27,TABASCO,3,CENTLA,64,144,145,217,423,5859,11836,1936,3051,18357,,5837,,,,47516,49,2318,49883,79939,http://iepct.mx/computos/2024/PMR/3/ACTA_COMPUTO.pdf
27,TABASCO,4,CENTRO,307,865,867,8924,12117,7667,49693,34606,19337,154337,,,,,798,287479,354,18599,306432,529256,http://iepct.mx/computos/2024/PMR/4/ACTA_COMPUTO.pdf
27,TABASCO,5,COMALCALCO,100,276,277,382,967,44959,1496,1083,,53833,,,,1108,,103828,27,5011,108866,163600,http://iepct.mx/computos/2024/PMR/5/ACTA_COMPUTO.pdf
27,TABASCO,6,CUNDUACAN,60,167,168,241,487,939,3188,,953,26531,,,25546,,,57885,5,3549,61439,99871,http://iepct.mx/computos/2024/PMR/6/ACTA_COMPUTO.pdf
27,TABASCO,7,EMILIANO ZAPATA,16,44,45,51,32,89,283,372,9035,7084,,,,102,,17048,0,460,17508,24622,http://iepct.mx/computos/2024/PMR/7/ACTA_COMPUTO.pdf
27,TABASCO,8,HUIMANGUILLO,99,253,254,,,9648,1439,1020,10147,51308,,,,,,73562,44,5766,79372,137163,http://iepct.mx/computos/2024/PMR/8/ACTA_COMPUTO.pdf
27,TABASCO,9,JALAPA,28,55,56,126,189,132,5527,6754,588,5734,,,,,,19050,0,931,19981,29027,http://iepct.mx/computos/2024/PMR/9/ACTA_COMPUTO.pdf
27,TABASCO,10,JALPA DE MENDEZ,37,113,114,,291,21060,522,706,,21129,,,,,,43708,3,2263,45974,69375,http://iepct.mx/computos/2024/PMR/10/ACTA_COMPUTO.pdf
27,TABASCO,11,JONUTA,26,49,50,32,44,7870,99,86,136,10723,,,,,,18990,8,637,19635,24516,http://iepct.mx/computos/2024/PMR/11/ACTA_COMPUTO.pdf
27,TABASCO,12,MACUSPANA,82,210,211,4715,3207,2040,5914,1842,2069,36435,,,,,403,56625,109,4660,61394,121605,http://iepct.mx/computos/2024/PMR/12/ACTA_COMPUTO.pdf
27,TABASCO,13,NACAJUCA,53,169,170,1107,1282,1224,1193,31899,1816,21090,,,,,,59611,35,3186,62832,107534,http://iepct.mx/computos/2024/PMR/13/ACTA_COMPUTO.pdf
27,TABASCO,14,PARAISO,45,131,132,,266,4469,563,626,20418,19818,,,,,,46160,124,2129,48413,74838,http://iepct.mx/computos/2024/PMR/14/ACTA_COMPUTO.pdf
27,TABASCO,15,TACOTALPA,27,70,71,102,336,390,1820,874,9260,8575,,,,,,21357,15,1366,22738,35489,http://iepct.mx/computos/2024/PMR/15/ACTA_COMPUTO.pdf
27,TABASCO,16,TEAPA,27,72,73,,487,243,491,5388,4674,10991,,,,,,22274,5,1489,23768,42417,http://iepct.mx/computos/2024/PMR/16/ACTA_COMPUTO.pdf
27,TABASCO,17,TENOSIQUE,44,90,91,1878,386,130,242,12274,763,11322,,,,,,26995,3,1232,28230,46653,http://iepct.mx/computos/2024/PMR/17/ACTA_COMPUTO.pdf
