ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PT_NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,APOZOL,11,13,14,1535,,40,43,,,,16,9,39,,,,,1651,3333,0,129,3462,6059,
32,ZACATECAS,2,APULCO,8,10,10,,75,,,72,889,,16,,,,487,,,,1539,1,179,1719,4204,
32,ZACATECAS,3,ATOLINGA,6,7,7,,,,,,,,,,,,,606,36,746,1388,0,77,1465,2539,
32,ZACATECAS,4,BENITO JUAREZ,9,9,9,1006,11,,7,,,,7,240,,,,,,1172,2443,2,64,2509,3827,
32,ZACATECAS,5,CALERA,23,57,57,5569,967,300,,,448,,,,542,193,,,7183,3102,18304,12,703,19019,32376,
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,13,5,273,1285,531,,41,,934,249,1,29,,,,1072,4420,0,129,4549,6296,
32,ZACATECAS,7,CONCEPCION DEL ORO,22,27,27,32,2544,,515,297,,362,2815,,47,31,,,,,6643,2,192,6837,9795,
32,ZACATECAS,8,CUAUHTEMOC,11,19,19,30,49,2489,,,,,,,,9,,,221,3410,6208,0,276,6484,9562,
32,ZACATECAS,9,CHALCHIHUITES,21,25,25,,,,,,44,,,,,9,22,3119,101,2121,5416,1,129,5546,8553,
32,ZACATECAS,10,FRESNILLO,209,334,337,,,,,,5059,,,,1034,681,138,48436,4158,32992,92498,75,3656,96229,174748,
32,ZACATECAS,11,TRINIDAD GARCIA DE LA CADENA,6,6,6,,,,,,,,,,482,,,662,,654,1798,2,48,1848,3154,
32,ZACATECAS,12,GENARO CODINA,16,18,19,33,213,,914,,601,,927,,239,185,,,,971,4083,2,145,4230,6382,
32,ZACATECAS,13,GENERAL ENRIQUE ESTRADA,7,11,11,,,,,,1239,,,,6,6,,786,156,1424,3617,0,117,3734,5183,
32,ZACATECAS,14,GENERAL FRANCISCO R. MURGUIA,42,48,48,,,,,1192,98,3563,,,,18,,5522,389,,10782,0,361,11143,18546,
32,ZACATECAS,15,EL PLATEADO DE JOAQUIN AMARO,5,6,6,,,,6,427,,387,6,125,,,,146,,,1097,0,25,1122,1848,
32,ZACATECAS,16,GENERAL PANFILO NATERA,24,37,37,,,,,1353,92,3306,,,,25,,974,4693,,10443,0,504,10947,18315,
32,ZACATECAS,17,GUADALUPE,121,260,262,,,,,,9766,,,,1164,2309,1231,31118,4949,33954,84491,82,3492,88065,148391,
32,ZACATECAS,18,HUANUSCO,12,13,14,,,,40,,,,10,,,35,,1144,,1016,2245,2,90,2337,4359,
32,ZACATECAS,19,JALPA,34,49,49,,,,,,833,,,,71,100,,4772,1666,3836,11278,1,399,11678,22920,
32,ZACATECAS,20,JEREZ,89,119,120,7752,2731,10584,,,586,,,,1372,626,,,286,5022,28959,20,1367,30346,57513,
32,ZACATECAS,21,JIMENEZ DEL TEUL,10,11,11,,,,810,,,,,,,,,761,,662,2233,3,72,2308,3347,
32,ZACATECAS,22,JUAN ALDAMA,23,33,33,,3477,,907,,237,,217,85,,107,,,,4513,9543,1,271,9815,17140,
32,ZACATECAS,23,JUCHIPILA,19,29,30,,,,3171,,118,,18,9,95,13,,2505,,615,6544,0,260,6804,12391,
32,ZACATECAS,24,LORETO,31,65,65,,,,245,2095,4964,4986,76,38,49,3036,83,4056,,,19628,1,868,20497,36085,
32,ZACATECAS,25,LUIS MOYA,12,19,19,792,,14,786,,808,,20,4,1694,9,,,,2069,6196,1,195,6392,9816,
32,ZACATECAS,26,MAZAPIL,48,51,51,,,,,2451,45,1892,5598,,,,,299,,,10285,0,405,10690,14645,
32,ZACATECAS,27,MELCHOR OCAMPO,6,7,7,5,30,3,,16,535,47,988,,,2,,,,,1626,0,113,1739,2345,
32,ZACATECAS,28,MEZQUITAL DEL ORO,6,7,7,6,,516,1,496,,801,6,,,,,,,,1826,0,49,1875,2598,
32,ZACATECAS,29,MIGUEL AUZA,22,34,34,,,,,,3077,,,,669,24,,518,1581,3507,9376,10,282,9668,18376,
32,ZACATECAS,30,MOMAX,6,7,8,652,10,,,305,,560,8,,5,0,,,,,1540,0,41,1581,2620,
32,ZACATECAS,31,MONTE ESCOBEDO,18,20,20,,,,,,289,,17,,,,,2469,,1511,4286,1,140,4427,7952,
32,ZACATECAS,32,MORELOS,9,18,19,172,508,388,303,,1308,,1223,9,1454,12,68,,,1630,7075,3,193,7271,10104,
32,ZACATECAS,33,MOYAHUA DE ESTRADA,9,10,10,,,,,,482,,5,,253,32,,780,,881,2433,0,71,2504,4942,
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,39,57,57,1462,306,,293,,4674,,101,46,305,340,,,,5846,13373,3,750,14126,26798,
32,ZACATECAS,35,NORIA DE ANGELES,16,24,24,,2707,31,,119,88,3617,,,249,707,60,,185,,7763,3,304,8070,12255,
32,ZACATECAS,36,OJOCALIENTE,42,64,64,214,2936,6328,0,492,238,5269,145,,129,1771,72,,,,17594,10,658,18262,32065,
32,ZACATECAS,37,PANUCO,14,27,27,,3902,,125,,1631,,907,11,75,53,,,,1577,8281,1,363,8645,13123,
32,ZACATECAS,38,PINOS,95,121,121,,13315,,,759,17,15973,,,357,,2,,1259,,31682,10,1913,33605,52639,
32,ZACATECAS,39,RIO GRANDE,64,105,106,652,8434,3785,5377,328,524,8212,390,42,,304,64,,,,28112,2,1604,29718,53323,
32,ZACATECAS,40,SAIN ALTO,27,36,36,62,4613,1907,,,0,,281,,,37,,,,3312,10212,1,350,10563,17593,
32,ZACATECAS,41,EL SALVADOR,5,5,5,,,,7,999,0,150,17,,,,1,54,,,1228,0,112,1340,1924,
32,ZACATECAS,42,SOMBRERETE,89,114,114,3516,7084,238,,,1019,,,,2,231,403,,996,12467,25956,7,1407,27370,49788,
32,ZACATECAS,43,SUSTICACAN,4,4,4,,,,160,,237,,5,,71,23,,242,,117,855,0,38,893,1486,
32,ZACATECAS,44,TABASCO,21,30,30,2864,215,,1318,,1757,,206,,,50,,,,2007,8417,5,240,8662,14157,
32,ZACATECAS,45,TEPECHITLAN,18,20,21,,,580,19,,0,,,,,22,,,2424,1412,4457,0,168,4625,7458,
32,ZACATECAS,46,TEPETONGO,20,21,21,,,,,,36,,6,,27,3,,1583,,1869,3524,0,152,3676,6501,
32,ZACATECAS,47,TEUL DE GONZALEZ ORTEGA,11,14,14,,,,1148,629,,238,434,6,7,79,,597,,,3138,0,55,3193,4713,
32,ZACATECAS,48,TLALTENANGO DE SANCHEZ ROMAN,36,55,55,,,,,,313,,,,,487,,3964,239,7824,12827,7,559,13393,22162,
32,ZACATECAS,49,VALPARAISO,66,77,78,,,,,,1,,,,1,118,23,6986,472,8661,16262,5,667,16934,28571,
32,ZACATECAS,50,VETAGRANDE,8,16,16,,,,156,,50,,1794,9,2036,19,,629,,1220,5913,1,241,6155,8541,
32,ZACATECAS,51,VILLA DE COS,46,65,66,,,,,140,315,2188,,,133,186,,7625,6056,,16643,2,602,17247,26113,
32,ZACATECAS,52,VILLA GARCIA,15,25,25,,,,54,70,3666,2902,33,1,1,51,,2146,,,8924,2,388,9314,13000,
32,ZACATECAS,53,VILLA GONZALEZ ORTEGA,12,20,20,896,120,1175,87,52,1140,1177,68,245,585,18,,,,,5563,0,339,5902,10487,
32,ZACATECAS,54,VILLA HIDALGO,24,31,31,0,4481,41,268,89,77,4592,77,,,31,,,,,9656,5,386,10047,14181,
32,ZACATECAS,55,VILLANUEVA,49,62,62,745,247,6291,,,173,,,,186,20,,,429,8033,16124,1,734,16859,27996,
32,ZACATECAS,56,ZACATECAS,122,215,217,,,,,,9501,,,,4489,1112,963,26030,4676,22717,69488,80,2829,72397,116975,
32,ZACATECAS,57,TRANCOSO,11,26,27,92,884,1133,3570,,168,,67,21,6,51,375,,,2576,8943,2,302,9247,14637,
32,ZACATECAS,58,SANTA MARIA DE LA PAZ,7,8,8,,,,,,750,,4,,,,,582,,242,1578,0,48,1626,2560,
